ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
464198,Male,Yes,49,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
464238,Male,Yes,87,Yes,Doctor,0.0,High,2.0,Cat_6,A
461219,Female,No,28,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
466979,Female,Yes,39,Yes,Homemaker,,Average,1.0,Cat_3,A
464835,Male,Yes,19,No,Healthcare,1.0,Low,6.0,Cat_4,D
465738,Male,No,38,Yes,Entertainment,8.0,Low,2.0,Cat_3,B
460095,Female,Yes,74,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
460309,Male,No,28,Yes,Marketing,9.0,Low,5.0,Cat_7,D
467503,Male,No,26,Yes,Artist,1.0,Low,4.0,Cat_6,C
465879,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
460972,Male,Yes,42,No,Artist,14.0,Low,2.0,Cat_6,A
461532,Male,Yes,48,Yes,Entertainment,1.0,Low,1.0,Cat_5,A
465896,Male,No,32,Yes,Doctor,2.0,Low,2.0,Cat_6,D
464023,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_7,D
459317,Male,Yes,52,Yes,Executive,1.0,High,4.0,Cat_6,C
463513,Male,Yes,79,Yes,Artist,,High,2.0,Cat_6,B
461677,Male,No,31,Yes,Healthcare,8.0,Low,,Cat_6,D
464472,Female,No,27,Yes,Artist,0.0,Low,3.0,Cat_2,C
467482,Male,Yes,38,No,Executive,0.0,High,3.0,Cat_6,C
466143,Female,Yes,48,No,Engineer,0.0,Average,5.0,,C
466894,Male,No,51,Yes,Artist,0.0,Low,3.0,Cat_6,B
463644,Female,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
459923,Male,No,31,Yes,Entertainment,0.0,Low,2.0,Cat_3,D
460416,Male,No,28,Yes,Healthcare,14.0,Low,1.0,Cat_6,D
467935,Male,No,23,No,Healthcare,7.0,Low,3.0,Cat_6,D
467300,Female,Yes,50,Yes,Artist,0.0,Low,1.0,Cat_6,B
463257,Female,No,23,No,Healthcare,3.0,Low,5.0,Cat_6,D
465293,Male,Yes,47,Yes,Artist,1.0,High,5.0,,C
460297,Male,Yes,46,No,Artist,8.0,Low,2.0,Cat_6,B
462221,Male,No,33,No,Healthcare,0.0,Low,7.0,Cat_4,D
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
466718,Male,Yes,66,,Entertainment,0.0,High,2.0,Cat_6,B
463368,Female,Yes,42,Yes,Artist,3.0,High,3.0,Cat_2,C
465737,Female,Yes,49,Yes,Entertainment,6.0,Low,3.0,Cat_3,D
466087,Male,,22,No,Healthcare,8.0,High,6.0,Cat_4,D
466741,Female,,53,No,Artist,9.0,Low,2.0,Cat_6,B
460816,Female,Yes,49,No,,11.0,Low,2.0,Cat_3,A
464826,Male,No,23,No,Healthcare,6.0,Low,5.0,Cat_4,D
462583,Male,No,26,Yes,Homemaker,0.0,Low,4.0,Cat_4,D
464003,Male,No,22,No,Executive,0.0,Low,4.0,Cat_2,D
467872,Female,Yes,40,Yes,Engineer,1.0,Average,4.0,Cat_7,B
467881,Female,No,33,Yes,Artist,10.0,Low,1.0,Cat_7,A
463612,Female,Yes,51,Yes,Engineer,1.0,High,3.0,Cat_6,C
459842,Male,No,25,Yes,Healthcare,,Low,3.0,Cat_6,D
460326,Female,Yes,47,No,Artist,6.0,Low,2.0,Cat_6,B
466434,Male,Yes,53,Yes,Artist,0.0,Average,4.0,Cat_6,B
465593,Male,Yes,56,No,Lawyer,0.0,High,3.0,Cat_3,A
463550,Female,Yes,38,Yes,Artist,1.0,Average,2.0,Cat_4,C
467569,Male,No,19,No,Healthcare,,Low,4.0,Cat_6,D
465707,Male,Yes,39,Yes,Entertainment,1.0,Average,4.0,Cat_3,C
460282,Male,Yes,40,No,Executive,0.0,Low,3.0,Cat_6,D
464292,Male,No,55,Yes,Homemaker,0.0,Average,2.0,Cat_6,C
467908,Female,Yes,42,No,Engineer,0.0,High,4.0,Cat_6,B
459194,Female,Yes,81,Yes,Executive,1.0,High,2.0,Cat_6,C
461398,Male,No,20,No,Doctor,0.0,Low,4.0,Cat_6,D
464109,Male,Yes,47,No,Lawyer,0.0,Average,3.0,Cat_6,C
463501,Male,Yes,51,Yes,Executive,0.0,High,2.0,Cat_6,C
460526,Female,Yes,28,,,8.0,Average,4.0,Cat_3,C
